Date;CPI Total;Nahrungsmittel und alkoholfreie Getränke;Nahrungsmittel;Brot, Mehl und Getreideprodukte;Fleisch, Fleischwaren;Milch, Käse, Eier;Früchte, Gemüse, Kartoffeln und Pilze
30.11.1988;71.1996;81.7464;80.9603;81.7693;70.4767;98.3323;75.8433
31.12.1988;71.3286;81.7763;80.9975;81.8398;70.6935;98.5605;75.4553
31.01.1989;71.7196;82.1465;81.3848;82.2969;69.9491;98.5786;77.743
28.02.1989;72.0801;82.4291;81.6736;82.4226;69.847;98.6572;79.1584
31.03.1989;72.2738;82.8144;82.0783;82.5886;69.2137;98.7479;81.6924
30.04.1989;72.6542;83.3323;82.627;82.6501;69.6812;98.4922;83.8932
31.05.1989;72.7044;83.3406;82.6331;82.6611;70.0298;98.5719;83.2409
30.06.1989;72.8286;84.1376;83.4725;82.6949;70.9097;98.955;85.5456
31.07.1989;72.6674;83.4927;82.7722;82.7431;71.6918;98.9701;80.9633
31.08.1989;72.9087;82.1387;81.297;82.8881;71.6775;99.0871;73.6645
30.09.1989;73.2258;82.6897;81.8806;83.3937;72.0052;99.1786;75.6273
31.10.1989;73.5152;83.2755;82.4999;83.707;71.5839;99.3185;78.5357
30.11.1989;74.3639;83.6348;82.8641;83.9626;71.8663;99.4861;78.9728
31.12.1989;74.9106;84.4989;83.7792;83.9912;72.7181;99.5931;81.9425
31.01.1990;75.3515;85.8328;85.2224;86.8387;72.9306;100.1091;85.7259
28.02.1990;75.5959;87.0634;86.5205;87.5497;72.9842;104.0514;88.0821
31.03.1990;75.8562;87.617;87.1132;87.6259;73.3389;105.6617;88.8382
30.04.1990;76.0123;88.4959;88.0501;87.7401;74.4723;106.4684;90.7895
31.05.1990;76.3819;87.9658;87.4601;87.5381;74.5033;106.6963;87.5539
30.06.1990;76.4884;88.4975;88.0264;87.6552;75.5602;106.4348;88.8214
31.07.1990;76.526;88.3328;87.8492;87.6728;75.849;106.6863;87.3082
31.08.1990;77.3441;87.7281;87.1593;87.8219;76.3975;106.7105;82.818
30.09.1990;77.7116;87.817;87.2759;87.8077;76.7375;106.7948;82.7153
31.10.1990;78.1849;88.1246;87.6327;87.934;76.9714;106.7989;83.9765
30.11.1990;78.8672;87.6287;87.1164;88.0274;76.7301;106.9284;81.579
31.12.1990;78.863;87.9222;87.4373;88.0955;77.2191;107.2395;81.9899
31.01.1991;79.5029;89.9388;89.5707;92.9109;78.0023;107.4106;87.0954
28.02.1991;80.2932;90.7776;90.4107;94.1938;77.711;107.5046;90.13
31.03.1991;80.3057;91.7519;91.4427;94.3563;78.4736;107.452;94.2675
30.04.1991;80.4985;92.1702;91.8849;94.4218;78.4597;108.4355;95.4164
31.05.1991;81.1779;91.4116;91.0273;94.4879;78.3878;109.2249;90.616
30.06.1991;81.5113;92.9585;92.6637;94.5121;79.0444;109.3906;97.2105
31.07.1991;81.5395;91.8929;91.5363;94.5297;79.1945;109.558;91.467
31.08.1991;81.9637;91.6296;91.2368;94.733;79.14;109.7255;89.3963
30.09.1991;82.1225;91.3024;90.8828;94.7217;79.3534;110.2228;86.9416
31.10.1991;82.1951;91.3145;90.9033;94.7865;78.8765;110.4826;87.5114
