Date;Credit Volume Mortgage Loans (in mio CHF)
31.10.2017;978411
30.11.2017;981442
31.12.2017;982697
31.01.2018;984928
28.02.2018;986956
31.03.2018;989451
30.04.2018;992338
31.05.2018;995116
30.06.2018;997266
31.07.2018;1000759
31.08.2018;1003256
30.09.2018;1005210
31.10.2018;1009071
30.11.2018;1012911
31.12.2018;1015118
31.01.2019;1018977
28.02.2019;1021152
31.03.2019;1023452
30.04.2019;1027216
31.05.2019;1030611
30.06.2019;1031581
31.07.2019;1035520
31.08.2019;1038184
30.09.2019;1040148
31.10.2019;1042886
30.11.2019;1045546
31.12.2019;1047973
31.01.2020;1050710
29.02.2020;1052163
31.03.2020;1055910
30.04.2020;1058449
31.05.2020;1062001
30.06.2020;1063676
31.07.2020;1066597
31.08.2020;1069292
30.09.2020;1072056
31.10.2020;1075743
30.11.2020;1078651
31.12.2020;1082288
31.01.2021;1086506
28.02.2021;1088874
31.03.2021;1093199
30.04.2021;1097772
31.05.2021;1100906
30.06.2021;1103782
31.07.2021;1107450
31.08.2021;1110712
30.09.2021;1112967
31.10.2021;1115959
30.11.2021;1118405
31.12.2021;1119209
31.01.2022;1123011
28.02.2022;1125839
31.03.2022;1129690
30.04.2022;1133566
31.05.2022;1137232
30.06.2022;1139075
31.07.2022;1143895
31.08.2022;1146691
30.09.2022;1149068
31.10.2022;1152183
30.11.2022;1156280
31.12.2022;1158417
